User,Reaction Type,Reaction Date
137,Comment,1588166158
641,Like,1588160940
818,Like,1588160942
901,Like,1588160942
126,Emoticon,1588160945
246,Comment,1588168945
575,Like,1588160950
54,Like,1588160951
499,Emoticon,1588160952
752,Like,1588173488
679,Like,1588163588
557,Emoticon,1588160956
884,Like,1588164680
402,Like,1588163067
964,Like,1588160965
660,Comment,1588182024
892,Emoticon,1588160968
627,Emoticon,1588160968
340,Like,1588160969
607,Comment,1588180716
592,Emoticon,1588168369
536,Emoticon,1588181343
822,Like,1588181519
52,Emoticon,1588171175
562,Comment,1588161799
820,Comment,1588160982
418,Like,1588160982
612,Like,1588160983
942,Comment,1588198774
861,Comment,1588164877
189,Like,1588160985
546,Comment,1588160985
105,Comment,1588168853
533,Like,1588178969
130,Emoticon,1588160994
89,Comment,1588160996
522,Like,1588160996
985,Like,1588177743
779,Emoticon,1588168092
680,Comment,1588174219
449,Emoticon,1588161002
414,Comment,1588161004
772,Comment,1588171424
698,Emoticon,1588168202
136,Emoticon,1588161010
205,Comment,1588183069
418,Like,1588161017
69,Comment,1588161017
301,Emoticon,1588161018
489,Like,1588161019
572,Like,1588161021
903,Like,1588161022
461,Comment,1588162285
721,Emoticon,1588161023
806,Emoticon,1588166996
680,Emoticon,1588169420
410,Comment,1588161028
789,Emoticon,1588161035
444,Emoticon,1588161036
896,Like,1588161036
576,Emoticon,1588176791
773,Like,1588182741
569,Comment,1588161038
759,Like,1588164696
349,Like,1588161041
772,Comment,1588171274
672,Emoticon,1588161045
693,Comment,1588161046
92,Like,1588161046
755,Like,1588161046
409,Emoticon,1588161050
459,Like,1588161051
171,Comment,1588161052
412,Comment,1588161054
52,Comment,1588168558
713,Comment,1588161060
175,Comment,1588176041
252,Like,1588161061
618,Comment,1588161061
804,Comment,1588161064
246,Emoticon,1588166489
471,Like,1588167820
324,Emoticon,1588161070
102,Like,1588161070
4,Comment,1588173579
244,Emoticon,1588171293
685,Emoticon,1588166294
802,Emoticon,1588161072
865,Emoticon,1588166016
403,Comment,1588167276
698,Comment,1588168119
744,Comment,1588172086
1,Emoticon,1588161075
660,Comment,1588175600
955,Like,1588161078
129,Comment,1588170192
501,Like,1588161080
518,Comment,1588161081
815,Comment,1588172174
903,Comment,1588161083
601,Emoticon,1588161083
267,Comment,1588161084
574,Like,1588172912
684,Like,1588188882
343,Comment,1588161091
72,Like,1588162153
85,Like,1588161094
194,Emoticon,1588161095
121,Comment,1588161096
56,Emoticon,1588161097
2,Emoticon,1588162160
86,Like,1588162344
237,Emoticon,1588161100
17,Emoticon,1588162811
996,Emoticon,1588161101
633,Like,1588161102
886,Emoticon,1588161103
399,Emoticon,1588163225
800,Comment,1588161106
175,Comment,1588179471
355,Emoticon,1588174872
586,Like,1588168951
793,Comment,1588161419
963,Like,1588162282
628,Comment,1588180699
13,Emoticon,1588161881
373,Emoticon,1588163578
208,Comment,1588161122
860,Emoticon,1588161122
724,Comment,1588170174
974,Comment,1588163325
341,Emoticon,1588161127
792,Emoticon,1588175102
966,Like,1588161130
845,Emoticon,1588161130
459,Comment,1588161134
420,Comment,1588161134
10,Like,1588161135
611,Emoticon,1588185462
325,Emoticon,1588168278
305,Like,1588161965
739,Comment,1588168613
672,Emoticon,1588161138
371,Comment,1588161139
326,Like,1588161142
843,Emoticon,1588161143
575,Emoticon,1588161144
692,Comment,1588161146
422,Comment,1588161148
455,Emoticon,1588161152
963,Emoticon,1588162538
155,Comment,1588161156
352,Like,1588161806
829,Emoticon,1588173159
342,Emoticon,1588161157
985,Comment,1588184676
811,Like,1588164176
497,Emoticon,1588166583
599,Comment,1588161619
63,Comment,1588167324
103,Comment,1588161169
673,Emoticon,1588161171
488,Comment,1588161172
514,Emoticon,1588161176
660,Comment,1588179913
995,Comment,1588161177
147,Comment,1588165707
739,Comment,1588166844
867,Like,1588161183
657,Like,1588161185
998,Emoticon,1588170945
817,Comment,1588161187
93,Comment,1588162411
717,Comment,1588161189
587,Comment,1588165944
945,Like,1588165411
304,Emoticon,1588161194
669,Comment,1588161202
167,Comment,1588161203
781,Comment,1588171245
933,Like,1588164148
867,Comment,1588161210
213,Like,1588163215
814,Emoticon,1588161213
753,Like,1588161214
870,Like,1588162281
343,Emoticon,1588161215
348,Comment,1588161217
429,Comment,1588161218
600,Comment,1588162206
343,Emoticon,1588161224
559,Comment,1588166037
519,Like,1588168733
578,Emoticon,1588161227
768,Like,1588161228
750,Comment,1588163758
80,Emoticon,1588171864
996,Emoticon,1588161231
825,Comment,1588161234
579,Emoticon,1588170089
116,Comment,1588161234
46,Like,1588161237
608,Emoticon,1588161240
18,Comment,1588179209
909,Like,1588170266
928,Emoticon,1588167149
605,Emoticon,1588168434
443,Like,1588161245
287,Emoticon,1588165373
239,Emoticon,1588173685
992,Comment,1588161247
974,Emoticon,1588163153
283,Emoticon,1588174474
90,Emoticon,1588169388
447,Emoticon,1588169648
599,Emoticon,1588161633
807,Comment,1588161259
324,Like,1588161262
535,Emoticon,1588161263
548,Like,1588170247
730,Emoticon,1588161264
162,Like,1588161266
296,Emoticon,1588161266
847,Like,1588164394
959,Comment,1588170427
632,Comment,1588179809
369,Comment,1588161269
262,Comment,1588161270
29,Emoticon,1588161273
644,Emoticon,1588161274
485,Like,1588182004
58,Comment,1588161278
986,Comment,1588167901
753,Like,1588161278
271,Like,1588168939
707,Like,1588161282
496,Like,1588171923
267,Emoticon,1588161283
713,Comment,1588161284
636,Like,1588161284
185,Like,1588172915
419,Like,1588161288
268,Comment,1588161288
680,Emoticon,1588169630
243,Comment,1588161288
843,Comment,1588161289
195,Like,1588161291
473,Emoticon,1588161292
717,Emoticon,1588161292
320,Comment,1588161294
607,Comment,1588181584
823,Comment,1588164883
883,Emoticon,1588161297
930,Emoticon,1588161298
16,Comment,1588165125
521,Emoticon,1588180499
823,Emoticon,1588164524
18,Emoticon,1588180199
456,Emoticon,1588161302
947,Like,1588161303
295,Emoticon,1588168190
425,Like,1588161309
441,Emoticon,1588161311
521,Like,1588182995
283,Comment,1588177982
347,Like,1588161315
202,Like,1588161318
1,Comment,1588161319
724,Like,1588166943
967,Comment,1588170384
654,Emoticon,1588170603
645,Emoticon,1588161321
724,Like,1588168067
525,Comment,1588163012
911,Like,1588161326
666,Emoticon,1588161326
685,Like,1588168339
824,Emoticon,1588170985
365,Comment,1588170317
997,Emoticon,1588161329
430,Like,1588161330
380,Comment,1588163355
653,Like,1588161331
693,Comment,1588161332
7,Emoticon,1588161332
821,Emoticon,1588165310
659,Like,1588169548
789,Emoticon,1588161337
632,Emoticon,1588175957
145,Like,1588161341
829,Like,1588174162
1000,Comment,1588177435
428,Comment,1588161345
21,Emoticon,1588165030
626,Like,1588171181
695,Comment,1588161347
581,Like,1588178399
844,Like,1588177210
436,Comment,1588161352
862,Comment,1588161352
288,Comment,1588161353
147,Comment,1588165386
627,Emoticon,1588161356
630,Like,1588164252
312,Like,1588163643
901,Comment,1588161359
945,Comment,1588166089
756,Like,1588161363
470,Comment,1588170246
910,Like,1588161365
899,Emoticon,1588161365
663,Comment,1588161365
504,Emoticon,1588161366
392,Emoticon,1588161366
809,Comment,1588165793
361,Emoticon,1588161371
866,Emoticon,1588161373
597,Comment,1588161375
426,Like,1588174393
618,Comment,1588161377
174,Emoticon,1588161379
54,Emoticon,1588161380
469,Emoticon,1588161380
334,Like,1588161381
396,Comment,1588161382
456,Like,1588161384
254,Like,1588170800
440,Like,1588161387
999,Comment,1588161387
664,Emoticon,1588161387
890,Comment,1588161388
540,Comment,1588165758
157,Like,1588161391
27,Emoticon,1588163131
223,Like,1588161394
495,Comment,1588161394
319,Comment,1588161394
224,Comment,1588161395
763,Emoticon,1588169795
929,Like,1588172865
578,Like,1588161399
143,Emoticon,1588161400
486,Emoticon,1588167272
671,Emoticon,1588161404
900,Like,1588162783
696,Like,1588161405
504,Like,1588161408
802,Emoticon,1588161409
564,Like,1588165009
288,Emoticon,1588161410
104,Comment,1588161410
879,Like,1588161410
659,Comment,1588171620
136,Like,1588161418
879,Like,1588161418
156,Emoticon,1588161419
529,Like,1588182176
799,Emoticon,1588161419
429,Comment,1588161423
391,Comment,1588161423
295,Emoticon,1588165729
978,Like,1588161426
875,Comment,1588161427
249,Emoticon,1588176808
645,Emoticon,1588161430
704,Emoticon,1588161432
534,Emoticon,1588161437
802,Comment,1588161437
160,Like,1588161439
938,Emoticon,1588187484
800,Like,1588161440
777,Like,1588162963
231,Emoticon,1588161441
213,Comment,1588162413
989,Comment,1588168598
981,Comment,1588161446
842,Comment,1588161448
905,Like,1588188204
230,Emoticon,1588161453
681,Like,1588167809
291,Emoticon,1588182269
925,Comment,1588169334
976,Comment,1588162201
155,Like,1588161460
825,Emoticon,1588161460
796,Comment,1588161463
278,Like,1588171165
581,Like,1588174927
491,Emoticon,1588161464
503,Like,1588161466
112,Emoticon,1588161467
673,Emoticon,1588161471
193,Emoticon,1588168260
983,Like,1588169515
998,Like,1588173275
99,Emoticon,1588169742
391,Emoticon,1588161474
61,Emoticon,1588161475
177,Like,1588170835
656,Like,1588165365
823,Emoticon,1588163512
351,Emoticon,1588163346
987,Like,1588172139
550,Emoticon,1588161480
230,Like,1588161481
935,Comment,1588171315
497,Like,1588165373
285,Like,1588161484
686,Comment,1588172356
699,Like,1588161487
600,Emoticon,1588162128
55,Emoticon,1588164663
856,Emoticon,1588161492
278,Like,1588173773
749,Like,1588161653
383,Comment,1588161921
105,Emoticon,1588166252
481,Comment,1588161497
675,Like,1588161497
771,Comment,1588161498
73,Emoticon,1588161499
421,Like,1588175828
168,Like,1588161500
499,Comment,1588161501
620,Comment,1588161502
742,Emoticon,1588161503
441,Comment,1588161505
372,Like,1588161505
375,Like,1588161507
900,Emoticon,1588163022
201,Emoticon,1588164725
549,Like,1588161508
308,Comment,1588161508
639,Emoticon,1588161509
11,Like,1588175397
762,Emoticon,1588161511
703,Comment,1588161512
984,Like,1588161512
129,Emoticon,1588168927
219,Emoticon,1588161513
39,Emoticon,1588161513
130,Emoticon,1588161514
30,Comment,1588161514
721,Comment,1588161515
207,Comment,1588161516
723,Comment,1588166201
33,Emoticon,1588161518
644,Like,1588161518
767,Like,1588161520
277,Comment,1588161522
532,Like,1588166176
273,Like,1588175541
594,Comment,1588165687
28,Emoticon,1588161524
282,Like,1588161524
580,Comment,1588161525
642,Comment,1588161526
141,Emoticon,1588161526
915,Comment,1588162974
183,Like,1588163696
283,Comment,1588178565
793,Emoticon,1588161528
162,Emoticon,1588161528
577,Like,1588161529
966,Emoticon,1588161529
737,Emoticon,1588162040
689,Comment,1588161534
48,Emoticon,1588161534
158,Emoticon,1588168732
86,Emoticon,1588161808
849,Emoticon,1588164163
127,Emoticon,1588162398
232,Comment,1588167962
147,Like,1588165722
356,Comment,1588173615
199,Comment,1588169049
80,Emoticon,1588172466
513,Emoticon,1588168471
369,Like,1588161549
387,Emoticon,1588161549
63,Comment,1588166332
226,Comment,1588161550
859,Emoticon,1588161550
518,Comment,1588161550
95,Like,1588167880
1000,Like,1588182167
581,Emoticon,1588170587
957,Comment,1588165886
49,Comment,1588168564
616,Emoticon,1588161557
794,Emoticon,1588169703
148,Comment,1588161559
317,Comment,1588161559
526,Emoticon,1588161559
781,Comment,1588179855
160,Like,1588161561
17,Like,1588162652
724,Comment,1588168834
861,Comment,1588166668
799,Comment,1588161562
125,Emoticon,1588169708
273,Like,1588174718
71,Emoticon,1588161563
827,Like,1588161564
827,Like,1588161565
111,Comment,1588161567
357,Emoticon,1588161567
578,Like,1588161570
402,Comment,1588162774
31,Emoticon,1588161571
986,Comment,1588168139
472,Comment,1588161576
713,Emoticon,1588161576
506,Comment,1588161577
954,Emoticon,1588161578
139,Comment,1588161582
756,Comment,1588161584
523,Emoticon,1588163600
552,Emoticon,1588165827
907,Comment,1588161587
4,Emoticon,1588169325
568,Emoticon,1588161591
608,Comment,1588161592
361,Emoticon,1588161592
373,Comment,1588162955
723,Emoticon,1588165325
757,Comment,1588161595
604,Emoticon,1588173828
760,Emoticon,1588161596
559,Like,1588164457
917,Like,1588161599
4,Like,1588168373
305,Emoticon,1588161602
38,Comment,1588161602
885,Like,1588161604
99,Like,1588168268
410,Like,1588161605
480,Emoticon,1588161605
275,Like,1588167589
775,Like,1588171999
783,Like,1588161609
627,Comment,1588161609
263,Emoticon,1588161609
431,Comment,1588161610
733,Comment,1588161611
380,Emoticon,1588163009
560,Emoticon,1588161611
119,Comment,1588161611
198,Like,1588161612
386,Comment,1588161776
749,Comment,1588161612
797,Like,1588161613
88,Comment,1588161615
706,Like,1588161616
419,Comment,1588161618
229,Like,1588161620
825,Like,1588161620
393,Emoticon,1588161712
154,Emoticon,1588162934
425,Emoticon,1588161624
354,Comment,1588161625
564,Like,1588164167
52,Emoticon,1588170677
904,Like,1588161625
640,Emoticon,1588164061
520,Comment,1588180279
921,Like,1588164201
10,Comment,1588161628
695,Like,1588161629
893,Emoticon,1588161630
558,Comment,1588161632
224,Emoticon,1588161633
475,Like,1588161634
944,Like,1588161918
187,Comment,1588161635
346,Comment,1588165576
231,Comment,1588161638
95,Comment,1588166732
647,Like,1588161641
79,Comment,1588161641
690,Like,1588161642
785,Comment,1588161644
515,Comment,1588161644
646,Emoticon,1588161645
80,Like,1588175220
303,Comment,1588161647
34,Emoticon,1588171520
244,Comment,1588178701
405,Like,1588161649
240,Like,1588161649
474,Comment,1588161649
174,Like,1588161653
514,Emoticon,1588161657
321,Like,1588161658
101,Emoticon,1588161660
359,Comment,1588161661
857,Emoticon,1588161662
909,Comment,1588175023
348,Comment,1588161666
409,Comment,1588161666
674,Emoticon,1588164296
196,Comment,1588170674
572,Like,1588161667
713,Like,1588161668
20,Comment,1588164847
328,Emoticon,1588161671
620,Comment,1588161672
519,Comment,1588172878
610,Emoticon,1588161673
940,Like,1588161674
271,Like,1588167316
834,Like,1588161675
797,Like,1588161675
824,Like,1588171737
136,Like,1588161680
302,Like,1588161680
278,Like,1588173360
899,Emoticon,1588161680
181,Emoticon,1588161681
180,Like,1588176513
612,Like,1588161684
376,Comment,1588161686
297,Emoticon,1588161687
272,Comment,1588162536
665,Emoticon,1588161688
312,Comment,1588163490
854,Like,1588161689
344,Like,1588161690
173,Emoticon,1588166179
908,Emoticon,1588161691
124,Comment,1588161691
533,Comment,1588180665
6,Like,1588163697
373,Emoticon,1588163761
550,Like,1588161696
240,Emoticon,1588161697
713,Emoticon,1588161700
53,Comment,1588162271
71,Comment,1588161702
454,Comment,1588161704
748,Emoticon,1588172691
501,Like,1588161705
469,Like,1588161705
744,Like,1588169393
175,Comment,1588178128
399,Comment,1588162504
131,Comment,1588161710
764,Comment,1588163407
712,Comment,1588161712
828,Like,1588161713
720,Emoticon,1588161713
918,Like,1588176371
733,Like,1588161715
450,Emoticon,1588183272
955,Emoticon,1588161717
485,Comment,1588180773
856,Comment,1588161720
974,Like,1588162622
588,Comment,1588161722
462,Comment,1588161723
101,Emoticon,1588161723
9,Emoticon,1588161725
53,Like,1588162220
831,Comment,1588161729
665,Like,1588161729
62,Comment,1588161730
764,Like,1588163571
153,Emoticon,1588161730
830,Comment,1588161731
797,Like,1588161732
496,Like,1588174758
354,Comment,1588161734
86,Emoticon,1588161735
69,Emoticon,1588161735
557,Like,1588161737
528,Comment,1588161744
905,Comment,1588183745
45,Like,1588161739
651,Comment,1588161740
818,Like,1588161741
8,Comment,1588173903
961,Comment,1588161742
159,Comment,1588161742
43,Emoticon,1588167524
715,Emoticon,1588161744
398,Comment,1588161744
767,Like,1588161745
956,Comment,1588161747
324,Like,1588161750
189,Like,1588161751
764,Like,1588162882
371,Like,1588161751
333,Like,1588161752
326,Emoticon,1588161753
81,Comment,1588161754
302,Emoticon,1588161755
865,Emoticon,1588164763
176,Comment,1588161756
319,Like,1588161757
564,Comment,1588163667
35,Comment,1588161757
451,Emoticon,1588161758
352,Comment,1588161758
138,Emoticon,1588169082
920,Emoticon,1588161759
560,Like,1588161760
144,Comment,1588161760
196,Like,1588169573
494,Like,1588167077
936,Comment,1588161760
284,Like,1588161761
731,Emoticon,1588161761
830,Emoticon,1588161763
746,Like,1588161763
669,Comment,1588161763
525,Like,1588162695
487,Comment,1588161763
964,Comment,1588161763
60,Like,1588161764
15,Emoticon,1588166899
231,Emoticon,1588161766
143,Comment,1588161766
321,Emoticon,1588161768
318,Emoticon,1588171885
442,Emoticon,1588164799
293,Like,1588161770
733,Comment,1588161770
621,Like,1588161774
546,Comment,1588161774
20,Like,1588166268
620,Emoticon,1588161775
965,Comment,1588161778
448,Like,1588161779
111,Comment,1588161780
341,Emoticon,1588161782
532,Comment,1588169024
698,Like,1588166365
346,Like,1588166079
591,Comment,1588164640
601,Emoticon,1588161783
416,Like,1588161784
221,Comment,1588163263
593,Emoticon,1588161784
519,Like,1588170627
734,Comment,1588161785
490,Comment,1588165649
641,Like,1588161787
42,Emoticon,1588161787
635,Like,1588164136
544,Emoticon,1588161789
29,Emoticon,1588161790
996,Emoticon,1588161791
50,Comment,1588161791
986,Emoticon,1588169120
16,Like,1588165531
266,Like,1588161792
291,Emoticon,1588176428
214,Comment,1588161793
167,Like,1588161793
124,Like,1588161794
627,Emoticon,1588161794
41,Like,1588161795
440,Like,1588161796
424,Comment,1588161796
141,Comment,1588161797
696,Emoticon,1588161797
841,Emoticon,1588161797
804,Emoticon,1588161798
744,Comment,1588174024
952,Like,1588161799
767,Emoticon,1588161801
521,Emoticon,1588176562
954,Emoticon,1588161804
760,Like,1588161804
914,Emoticon,1588161805
80,Comment,1588171113
532,Emoticon,1588169787
879,Emoticon,1588161807
164,Like,1588161808
228,Like,1588173750
812,Like,1588178210
871,Emoticon,1588161809
208,Comment,1588161809
535,Emoticon,1588161809
280,Comment,1588161809
358,Like,1588161810
630,Comment,1588163860
468,Emoticon,1588161811
282,Emoticon,1588161813
778,Like,1588168277
791,Like,1588161814
